Module Title, Learning Outcome, Promoted Skill and Knowledge
"Course_Agile_Business_Analysis","Understand BABOK knowledge areas and apply them in agile projects","K7,K8,K55,K56,K57,S16,S17,S85,S322"
"Course_Agile_Business_Analysis","Select and apply appropriate business analysis techniques from BABOK guide and Agile Extension","K7,K8,K55,K56,K57,S16,S17,S85,S322"
"Course_Agile_Business_Analysis","Apply BABOK guide within an agile project (e.g. Scrum-based)","K7,K8,K55,K56,K57,S16,S17,S85,S322"
"Course_Agile_Business_Analysis","Decide which BABOK knowledge areas/tasks and agile methods are appropriate for a project","K7,K8,K55,K56,K57,S4,S161,S262"
"Course_Agile_Business_Analysis","Analyze a project and determine if it should be run as an agile project","K7,K8,K55,K56,K57,S4,S161,S262"
"Course_Agile_Business_Analysis","Communicate effectively within a project team","S64,S65,S169,S421"
"Course_Agile_Business_Analysis","Present project results to other students","S62,S202"
"Course_Agile_Business_Analysis","Acquire detailed knowledge about business analysis techniques from BABOK guide and Agile Extension","K7,K8,K55,K56,K57,S295,S310"
"Course_Alignment_of_Business_and_IT","Understand business-IT alignment as the interaction of business model generation, strategic planning, business planning and IT planning","K53,K58,K188,K312,K313"
"Course_Alignment_of_Business_and_IT","Understand the role of enterprise architectures for the alignment of business and IT","K128,K172,K196"
"Course_Alignment_of_Business_and_IT","Understand the success factors for enterprise architecture management","K128,K172,K196"
"Course_Alignment_of_Business_and_IT","Understand the importance and role of models for communication between stakeholders from business and IT","K55,K56,K85,K165"
"Course_Alignment_of_Business_and_IT","Determine and model business model, digital business strategy, business architecture and application architecture using standard modeling methods","S85,S119,S128,S132,K55,K56,K58,K87,K403"
"Course_Alignment_of_Business_and_IT","Identify and realize architecture principles, particularly for sharing data and reusing services and functions","S13,S106,S111,S128,K172,K196"
"Course_Alignment_of_Business_and_IT","Analyze appropriateness of enterprise architecture models","S19,S24,S72,K172,K196"
"Course_Alignment_of_Business_and_IT","Judge governance and organization of enterprise architecture management","S220,S262,K172,K196"
"Course_Alignment_of_Business_and_IT","Analyze business situations to make decisions about business transformation and change projects","S16,S17,S24,S28,S232,K52,K53,K56,K58"
"Course_Alignment_of_Business_and_IT","Use models for communication between stakeholders from business and IT","S62,S64,S65,S85,K55,K56,K165,K403"
"Course_Alignment_of_Business_and_IT","Prepare individually for lectures and apply methods in exercises","S295,S310,K330,K347"
"Course_Applied_Computational_Intelligence","Model a real-world problem as a numerical optimization problem","S85,S88,S98,K12,K52,K55,K56,K249,K265,K276,K389"
"Course_Applied_Computational_Intelligence","Understand the optimization problem by identifying the problem model and the optimization method","S4,S16,S17,S23,S246,K12,K52,K55,K56,K249,K265,K276,K389"
"Course_Applied_Computational_Intelligence","Correctly define the optimization problem and its objectives for numerically finding optimized solutions as well as feasible search alternatives","S85,S88,S94,S112,K12,K52,K55,K56,K249,K265,K276,K389"
"Course_Applied_Computational_Intelligence","Explain and differentiate the foundations and concepts of Computational Intelligence (CI) and other related methods used for numerical optimization","S62,S366,K20,K84,K97,K118,K244,K269,K305,K306,K345"
"Course_Applied_Computational_Intelligence","Analyse the optimization problem by modelling the problem model and the optimization method","S16,S17,S85,S88,S322,K12,K52,K55,K56,K249,K265,K276,K389"
"Course_Applied_Computational_Intelligence","Create a computational optimization experiment to generate optimization results","S54,S55,S82,S89,S159,K12,K20,K80,K82,K84,K118,K244,K269,K345"
"Course_Applied_Computational_Intelligence","Apply selected methods of Computational Intelligence in order to understand and practise selected optimization techniques","S54,S55,S448,K20,K84,K118,K244,K269,K305,K306,K345"
"Course_Applied_Computational_Intelligence","Execute modelling, simulation and optimization techniques for problem solving","S85,S88,S98,S159,K12,K52,K55,K56,K82,K249,K265,K276,K389"
"Course_Applied_Computational_Intelligence","Apply, develop, and implement software components in order to compute optimization problems","S97,S159,S319,K59,K60,K80,K224,K225,K319,K373,K374"
"Course_Applied_Computational_Intelligence","Evaluate the computational optimization results","S325,S326,S327,S333,S380,K97,K101,K324,K380,K382"
"Course_Applied_Computational_Intelligence","Draw (create) conclusions based on the computational optimization experiment and the computational results","S62,S261,S262,S380,K52,K53,K54,K97,K324,K380,K382"
"Course_Applied_Computational_Intelligence","Apply and evaluate optimization principles and methods to solve problems in various domains","S72,S98,S357,K52,K53,K54,K55,K56,K249,K265,K276,K389"
"Course_Applied_Computational_Intelligence","Write a research paper related to an optimization problem and its solution","S166,S372,S453,K346,K347"
"Course_Applied_Computational_Intelligence","Present intermediate and final results within short presentations","S62,S202,K409"
"Course_Applied_Computational_Intelligence","Plan and conduct a small research project including modelling, simulation, and optimization as well as the implementation of a prototype","S78,S286,S335,S345,K188,K189,K313,K347"
"Course_Artificial_Intelligence_for_Business_Processes","Understand which process-related problems can be solved with AI","K20,K97,K118,K244,S14,S54,S55,S88,S89,S325,S326,S327,S328,S448"
"Course_Artificial_Intelligence_for_Business_Processes","Describe how an ideal interaction of natural and artificial intelligence in an organizational environment can be achieved","K20,K73,K74,K84,K118,K165,K244,S47,S95,S119,S136,S407"
"Course_Artificial_Intelligence_for_Business_Processes","Understand the relationship between enterprise/process models and knowledge graphs","K55,K56,K85,K102,K205,K206,K208,S16,S85,S88,S90,S91"
"Course_Artificial_Intelligence_for_Business_Processes","Understand the challenges of process mining","K97,K100,K101,K105,S14,S325,S326,S327,S328"
"Course_Artificial_Intelligence_for_Business_Processes","Combine and integrate APIs offering artificial intelligence (AI) and machine learning (ML) services","K20,K118,K244,S13,S80,S119,S122,S241,S266,S317"
"Course_Artificial_Intelligence_for_Business_Processes","Design and integrate various user interfaces such as text-dialogue-based (chatbots) or voice-dialogue-based (virtual assistants) user interfaces","K19,K165,S95,S119,S136,S243,S407"
"Course_Artificial_Intelligence_for_Business_Processes","Anticipate future changes that AI technologies will bring to processes and identify opportunities for their application","K140,S2,S3,S17,S214,S235,S310,S313"
"Course_Artificial_Intelligence_for_Business_Processes","Apply the methods of design thinking and rapid prototyping with process-AI","K120,S43,S95,S97,S159,S167"
"Course_Artificial_Intelligence_for_Business_Processes","Apply ontology-based enterprise/process modelling","K55,K56,K85,K102,K205,K206,K208,S16,S85,S88,S90,S91"
"Course_Artificial_Intelligence_for_Business_Processes","Select adequate intelligent components such as AI or ML services or intelligent user interfaces","K20,K118,K244,S13,S80,S119,S122,S241,S266,S317"
"Course_Artificial_Intelligence_for_Business_Processes","Assess the possibilities and limitations of artificial intelligence in process automation","K20,K118,K244,S4,S17,S72,S98,S161,S232,S357"
"Course_Artificial_Intelligence_for_Business_Processes","Assess and critically evaluate the possibilities of AI-supported data or knowledge-based decision-making in process automation","K52,K53,K54,K97,K117,S4,S54,S55,S261,S262"
"Course_Artificial_Intelligence_for_Business_Processes","Describe prototypes and the findings in portfolio","S44,S62,S202,S366,S372,S380"
"Course_Artificial_Intelligence_for_Business_Processes","Present solutions convincingly in very short presentations (pitches)","S44,S62,S202,S366"
"Course_Artificial_Intelligence_for_Business_Processes","Develop solutions in a lab-style environment using case studies","S98,S145,S159,S161,S339,S345"
"Course_Artificial_Intelligence_for_Business_Processes","Identify knowledge need regarding required AI tools","S46,S214,S310,S313"
"Course_Artificial_Intelligence_for_Business_Processes","Research, discuss and correctly cite relevant AI literature","S73,S74,S75,S76,S78,S395,S396"
"Course_Business_Analytics_Quantitative_Methods","Understand properties and quality of data for statistical analysis","K97,K104,K382,K380"
"Course_Business_Analytics_Quantitative_Methods","Apply exploratory, simulation and inferential methods to data using appropriate software","S41,S54,S56,S325,S327,K97,K101,K108,K118,K380,K382"
"Course_Business_Analytics_Quantitative_Methods","Interpret and critically evaluate analysis results in business context","S62,S244,S261,K52,K53,K54,K56"
"Course_Business_Analytics_Quantitative_Methods","Formulate and communicate analysis results, discussing data quality and relevance to business problems","S62,S114,S380,K86,K409"
"Course_Business_Analytics_Quantitative_Methods","Learn new analytical methods independently","S310,S295,K347"
"Course_Business_Analytics_Quantitative_Methods","Conduct survey research and prepare data for analysis","S74,S75,S89,S326,K97,K100"
"Course_Business_Analytics_Quantitative_Methods","Apply decision making under uncertainty and statistical knowledge formation concepts","S338,K23,K382"
"Course_Business_Analytics_Quantitative_Methods","Perform estimation and hypothesis testing","S41,K380,K382"
"Course_Business_Analytics_Quantitative_Methods","Build and assess linear models using multiple regression","S54,S88,K380,K382"
"Course_Business_Analytics_Quantitative_Methods","Apply queuing theory and discrete event simulation to business cases","S54,K82,K286"
"Course_Business_Intelligence","Understand why fact-based decision making is useful","S261,K52,K54"
"Course_Business_Intelligence","Explain business performance management and its implementation","S72,K56,K58"
"Course_Business_Intelligence","Understand diverse requirements of business towards BI analysis tools","S17,S206,K53"
"Course_Business_Intelligence","Understand potential value and application areas of big data technologies","S14,K97,K101"
"Course_Business_Intelligence","Understand success factors and barriers for BI projects","S72,K52,K54"
"Course_Business_Intelligence","Design meaningful and informative reports and dashboards","S114,S149,K108"
"Course_Business_Intelligence","Apply instruments for data exploration and visualization","S325,S333,K108"
"Course_Business_Intelligence","Derive multidimensional models from business information needs","S88,K102,K109"
"Course_Business_Intelligence","Apply information extraction methods for ETL with unstructured data","S326,K100,K208"
"Course_Business_Intelligence","Formulate problems as data mining tasks and interpret results","S54,S327,K101"
"Course_Business_Intelligence","Recognize and discuss potential risks of business performance management","S338,K323,K333"
"Course_Business_Intelligence","Judge and select appropriate Big Data technologies for business scenarios","S317,K97,K130"
"Course_Business_Intelligence","Identify ethical and legal issues for BI projects","S174,K147,K152"
"Course_Business_Intelligence","Judge potential of predictive analytics for improving decision-making","S54,S261,K118"
"Course_Business_Intelligence","Design a Balanced Scorecard with meaningful KPIs","S85,S404,K55"
"Course_Business_Intelligence","Elicit analytical requirements from business stakeholders","S17,S206,K57"
"Course_Business_Intelligence","Discuss ethical and legal issues for BI projects","S174,K147,K152"
"Course_Business_Intelligence","Develop strategies for communication and cooperation with business partners","S53,S64,S65"
"Course_Business_Process_Management","Understand the foundations of BPM and its relevance for organizational performance","K55,K56,K87,K307,K322,K323,S16,S17,S24,S85,S232"
"Course_Business_Process_Management","Know key frameworks, models, and methods of BPM and when to apply them","K55,K56,K87,K307,K322,K323,S16,S17,S85,S232"
"Course_Business_Process_Management","Apply BPM frameworks, models, and methods to real-world cases","K55,K56,K87,K307,K322,K323,S16,S17,S85,S232,S322"
"Course_Business_Process_Management","Assess options for process improvement and innovation","S4,S98,S145,S161,S232,S235"
"Course_Business_Process_Management","Evaluate BPM-related decisions in organizations","S4,S261,S262"
"Course_Business_Process_Management","Present solutions to BPM cases effectively","S62,S64,S65,S202,S409"
"Course_Business_Process_Management","Develop skills in process modeling and workflow management","K55,K56,S85,S91,S94,S133,S134"
"Course_Challenging_International_Managers_and_Leaders","Identify and describe key challenges of top managers and leaders","S4,S27,S262,K56,K58,K237"
"Course_Challenging_International_Managers_and_Leaders","Incorporate scientific findings for improved leadership and change management","S28,S161,S231,K7,K212,K237,K313"
"Course_Challenging_International_Managers_and_Leaders","Critically reflect upon mental models and their impact on leadership challenges","S3,S43,S98,K120,K391"
"Course_Challenging_International_Managers_and_Leaders","Present work articulately and convincingly","S44,S62,S202,K409"
"Course_Challenging_International_Managers_and_Leaders","Develop concrete plans for future action to develop leadership skills","S145,S161,S295,K237,K313"
"Course_Challenging_International_Managers_and_Leaders","Diagnose organizational situations and develop shared understanding","S16,S24,S85,K55,K56,K391"
"Course_Challenging_International_Managers_and_Leaders","Develop innovative solutions with sound implementation plans","S98,S145,S161,K212,K313"
"Course_Challenging_International_Managers_and_Leaders","Engage in role-play to understand different perspectives","S3,S30,S65,K30,K85"
"Course_Challenging_International_Managers_and_Leaders","Analyze real-world case studies from various management areas","S4,S16,S322,K52,K56,K58"
"Course_Challenging_International_Managers_and_Leaders","Understand challenges of adapting to complex and uncertain environments","S2,S3,S199,K140,K294"
"Course_Cloud_Computing","Understand different cloud service and deployment models","K69,K166,K220,K295"
"Course_Cloud_Computing","Understand cloud challenges of security and integration with focus on hybrid and multi clouds","K68,K96,K103,K106,K132,S219,S228"
"Course_Cloud_Computing","Understand the process of defining cloud strategy","K58,S113,S231"
"Course_Cloud_Computing","Understand cloud selection and company preparation for cloud usage","S317,S344,K180"
"Course_Cloud_Computing","Understand how cloud influences application development with focus on Microservices and DevOps","K7,K121,S163"
"Course_Cloud_Computing","Understand how IT automation takes place","S51,S117,S165"
"Course_Cloud_Computing","Understand why cloud services are enablers of digitalization","K128,K129,K140"
"Course_Cloud_Computing","Understand how cloud transforms IT","K172,K178,K196"
"Course_Cloud_Computing","Ability to use and work with services from the Azure platform","S117,S163,S267"
"Course_Cloud_Computing","Ability to define the cloud strategy of an organization","S113,S231,K58"
"Course_Cloud_Computing","Ability to identify how an enterprise gets prepared for cloud usage","S344,K180"
"Course_Cloud_Computing","Ability to select and evaluate cloud services","S317,K69"
"Course_Cloud_Computing","Ability to identify how cloud transforms enterprise IT","K172,K178,K196"
"Course_Cloud_Computing","Analyze appropriateness of cloud services for different areas","S317,S357,K69"
"Course_Cloud_Computing","Judge the risks and benefits of cloud usage","S338,K23,K68,K96"
"Course_Cloud_Computing","Use models for communication between business and IT stakeholders","S64,S65,S81,K55,K56"
"Course_Cyber_Security_and_Cyber_Resilience","Explain comprehensively cyberspace risks and impacts facing CIOs and decision makers in enterprises","S8,S12,S207,S208,S337,S338,K23,K95,K96,K173,K181,K193,K194,K209,K210,K333,K350,K351"
"Course_Cyber_Security_and_Cyber_Resilience","Understand requirements for transforming regulatory provisions, risk posture, and applying relevant frameworks and metrics","S67,S174,S228,S290,K89,K152,K193,K194,K209,K234,K293,K333"
"Course_Cyber_Security_and_Cyber_Resilience","Apply cyber security concepts and mechanisms in working contexts or cases","S215,S217,S218,S219,S228,S230,K95,K96,K171,K173,K174,K181,K193,K194,K350,K351"
"Course_Cyber_Security_and_Cyber_Resilience","Conduct awareness assessments and provide prioritized recommendations","S8,S12,S207,S208,S337,S338,K23,K95,K96,K209,K210,K333,K350,K351"
"Course_Cyber_Security_and_Cyber_Resilience","Discuss cyber resilience concepts and ethical hacking","S192,S388,K95,K96,K146,K147,K193,K194,K209,K210,K333,K350,K351"
"Course_Cyber_Security_and_Cyber_Resilience","Engage in self-directed learning using presentations, reference models, and best practices","S45,S310,S395,K95,K96,K171,K173,K174,K181,K193,K194,K209,K210,K333,K350,K351"
"Course_Cyber_Security_and_Cyber_Resilience","Perform exercises using a hacking lab","S192,S330,S388,K9,K28,K31,K63,K145,K228,K256,K270,K274,K297,K298,K300,K338,K396,K418"
"Course_Data_Governance_and_Information_Management","Understand the value of data as an asset for a company","K97,K98,K99,K103,K104,K105,K106,K107,K108,K109,K110,K111,K112,K113"
"Course_Data_Governance_and_Information_Management","Understand challenges of good data management for improving products and services","S16,S17,S72,S232,K52,K53,K54,K55,K56,K57,K58"
"Course_Data_Governance_and_Information_Management","Understand the need for data governance to enable data-driven innovations and process optimization","S102,S107,S108,S182,S222,K97,K98,K99,K104,K105,K207,K208,K209,K210"
"Course_Data_Governance_and_Information_Management","Understand existing data regulations to be applied within companies","S67,S173,S174,K89,K152,K193,K194,K234,K239"
"Course_Data_Governance_and_Information_Management","Understand the importance of data in steering a company and making business decisions","S261,S262,K52,K53,K54,K116,K117"
"Course_Data_Governance_and_Information_Management","Understand risks related to data protection","S207,S208,S338,K23,K24,K25,K95,K96,K103,K106"
"Course_Data_Governance_and_Information_Management","Identify saving potentials by better managing data","S16,S17,S72,S232,K52,K53,K54,K55,K56,K57,K58"
"Course_Data_Governance_and_Information_Management","Ensure compliance requirements","S67,S173,S174,K89,K152,K193,K194,K234,K239"
"Course_Data_Governance_and_Information_Management","Set up a data quality management program","S102,S107,S108,S182,S222,K97,K98,K99,K104,K105,K207,K208,K209,K210"
"Course_Data_Governance_and_Information_Management","Make proposals to improve internal processes","S16,S17,S72,S232,K52,K53,K54,K55,K56,K57,K58"
"Course_Data_Governance_and_Information_Management","Improve service to customers with digitalization","S100,S128,S129,K125,K126,K127,K128,K129"
"Course_Data_Governance_and_Information_Management","Build new digital products and services","S100,S128,S129,K125,K126,K127,K128,K129"
"Course_Data_Governance_and_Information_Management","Make proposals to transform business models","S85,S86,K55,K56,K57,K58"
"Course_Data_Governance_and_Information_Management","Provide necessary steps for good data management","S102,S107,S108,S182,S222,K97,K98,K99,K104,K105,K207,K208,K209,K210"
"Course_Data_Governance_and_Information_Management","Give necessary conditions for successful use of big data","S14,S54,S55,S325,S326,S327,K97,K98,K99,K100,K101"
"Course_Data_Governance_and_Information_Management","Assess the domain of use of coming data-driven technologies (AI, Blockchain)","S14,S15,S18,S184,S194,S195,S205,K20,K33,K34,K35,K36,K37,K38,K39,K40,K41,K42,K43,K44,K45,K46,K47,K48,K49,K118,K306"
"Course_Data_Governance_and_Information_Management","Show analytical skills to assess data use, define necessary conditions, and solve problems","S4,S16,S17,S72,S98,S161,S261,S262,K52,K53,K54,K55,K56,K57,K58"
"Course_Data_Science","Understand how to extract knowledge from data","S14,S54,S55,S88,S89,S325,S326,S327,S328,S350,K20,K97,K98,K101,K105,K118,K244"
"Course_Data_Science","Comprehend basic principles of machine learning algorithms","S14,S54,S55,S88,S89,S325,S326,S327,S328,S350,K12,K20,K97,K98,K101,K105,K118,K244"
"Course_Data_Science","Apply machine learning algorithms in practical settings","S14,S54,S55,S88,S89,S325,S326,S327,S328,S350,K12,K20,K97,K98,K101,K105,K118,K244,K327,K342"
"Course_Data_Science","Design data science processes including data preprocessing","S14,S88,S89,S325,S326,S327,S328,S350,K97,K98,K100,K101,K104,K105"
"Course_Data_Science","Evaluate and interpret machine learning algorithms","S14,S54,S55,S325,S326,S327,S328,S350,K12,K20,K97,K98,K101,K105,K118,K244"
"Course_Data_Science","Compare results of different models for machine learning tasks","S14,S54,S55,S325,S326,S327,S328,S350,K12,K20,K97,K98,K101,K105,K118,K244"
"Course_Data_Science","Apply supervised and unsupervised learning techniques","S14,S54,S55,S325,S326,S327,S328,S350,K12,K20,K97,K98,K101,K105,K118,K244"
"Course_Data_Science","Understand and apply artificial neural networks","S14,S54,S55,S325,S326,S327,S328,S350,K20,K97,K98,K101,K105,K118,K244"
"Course_Data_Science","Utilize the R programming language for data science tasks","S14,S54,S55,S325,S326,S327,S328,S350,K327,K342"
"Course_Digitalization_of_Business_Processes","Recognize and explain how digitalisation affects business information systems supporting business processes","S16,S17,S24,S72,K53,K55,K56,K128,K129"
"Course_Digitalization_of_Business_Processes","Express and defend how cooperation between humans and technology can result in adequate business process execution","S27,S65,S98,S169,K56,K165,K212"
"Course_Digitalization_of_Business_Processes","Understand concepts of cyberphysical systems","S19,S34,K128,K139,K265"
"Course_Digitalization_of_Business_Processes","Design and implement workflows to automate business processes and decision tasks","S85,S97,S153,S232,K7,K55,K56,K117,K307"
"Course_Digitalization_of_Business_Processes","Compose and use existing APIs to integrate microservices or automation services for business processes","S13,S80,S106,S241,K10,K11,K416"
"Course_Digitalization_of_Business_Processes","Design and integrate adequate user interfaces such as webforms","S119,S136,S224,S407,K19,K94,K366,K368"
