Module Title, Learning Outcome, Promoted Skill and Knowledge
"Course_Digitalization_of_Business_Processes","Prototype cyberphysical systems through a model-based approach","S95,S159,K128,K265,K315"
"Course_Digitalization_of_Business_Processes","Select adequate digital components such as workflow systems, APIs or user interfaces","S9,S317,S357,K53,K56,K416"
"Course_Digitalization_of_Business_Processes","Select an appropriate level of workflow automation","S6,S261,S262,K55,K56,K307"
"Course_Digitalization_of_Business_Processes","Describe a prototype and findings in a report","S44,S372,S380,K134"
"Course_Digitalization_of_Business_Processes","Demonstrate and present final results in a short presentation","S202,S434,K409"
"Course_Digitalization_of_Business_Processes","Identify knowledge needs regarding required APIs or technical skills","S46,S214,S310,K80,K365,K416"
"Course_Digitalization_of_Business_Processes","Schedule, plan and conduct a digitalisation project and implement a prototype","S183,S286,S298,S335,K8,K188,K189,K313,K315"
"Course_E-Business_and_Mobile_Business","Understand terminology of business software, e-business, digitalization, mobile business, and business applications","K53,K69,K124,K125,K128,K129,K220"
"Course_E-Business_and_Mobile_Business","Comprehend how e-business and mobile applications support and change business practices","S16,S17,S72,K53,K56,K69,K124,K125,K128,K220"
"Course_E-Business_and_Mobile_Business","Gain knowledge of relationships between organizational requirements and technical support for e-business and mobile business","S16,S17,S72,K53,K56,K69,K124,K125,K128,K220"
"Course_E-Business_and_Mobile_Business","Align strategic and organizational goals with e-business and mobile applications","S16,S17,S72,S85,K53,K55,K56,K58,K69,K124,K125,K128,K220"
"Course_E-Business_and_Mobile_Business","Identify potential of e-business and mobile applications in the value chain","S16,S17,S72,S85,K53,K55,K56,K58,K69,K124,K125,K128,K220"
"Course_E-Business_and_Mobile_Business","Apply theories and concepts to an exemplary case","S16,S17,S72,S85,K53,K55,K56,K58,K69,K124,K125,K128,K220"
"Course_E-Business_and_Mobile_Business","Analyze and understand trends in e-business and mobile business","S16,S17,S72,S310,S313,K53,K69,K124,K125,K128,K129,K220"
"Course_E-Business_and_Mobile_Business","Assess impact of e-business and mobile business trends on business development","S16,S17,S72,S310,S313,K53,K69,K124,K125,K128,K129,K220"
"Course_E-Business_and_Mobile_Business","Improve communication abilities through discussions and presentations","S62,S64,S65,S202,K409"
"Course_E-Business_and_Mobile_Business","Conduct online research on recent developments in specific topics","S73,S74,S75,S310,S313,K346"
"Course_E-Business_and_Mobile_Business","Use existing tutorials and templates to develop individual software application solutions","S80,S159,K69,K124,K125,K128,K220"
"Course_Emerging_Topics_for_Business_Information_Systems","Understand new trends and innovative topics in information systems","K140,K212,S310,S313"
"Course_Emerging_Topics_for_Business_Information_Systems","Discuss potential of emerging information systems technologies","S4,S27,S65,S98,S161,S357"
"Course_Emerging_Topics_for_Business_Information_Systems","Apply knowledge of innovative topics to practical work","S17,S72,S98,S235,S357"
"Course_Emerging_Topics_for_Business_Information_Systems","Conduct research on assigned topic and prepare presentations or workshops","S73,S74,S75,S78,S166,S202,S345,S369,S434"
"Course_Emerging_Topics_for_Business_Information_Systems","Develop skills in acquiring and teaching knowledge","S26,S45,S66,S365,S369,S397,S405"
"Course_Emerging_Topics_for_Business_Information_Systems","Understand the relevance of emerging topics to business information systems","K53,K54,K55,K56,S16,S24,S232"
"Course_Innovation_in_the_Digital_Age","Understand entrepreneurship from an early stage, focusing on problem/solution fit","S16,S17,S85,S98,S206,S232,K55,K56,K57,K120"
"Course_Innovation_in_the_Digital_Age","Understand the relevance of innovation processes through Design Thinking and Design Sprint","S43,S145,S235,K7,K120,K212"
"Course_Innovation_in_the_Digital_Age","Apply innovation processes, innovative thinking, and entrepreneurial skills in a real environment","S27,S98,S145,S161,S235,K120,K212"
"Course_Innovation_in_the_Digital_Age","Apply innovation techniques from Design Thinking and Design Sprint in presenting innovative ideas","S62,S64,S65,S202,K120,K409"
"Course_Innovation_in_the_Digital_Age","Assess the fitting between a problem and a solution","S4,S17,S98,S206,K55,K56,K57"
"Course_Innovation_in_the_Digital_Age","Assess the economic viability and technology feasibility of a solution","S188,S214,S261,S322,K52,K53,K54,K221"
"Course_Innovation_in_the_Digital_Age","Present and discuss problems and business ideas in classroom activities","S62,S64,S65,S202,K409"
"Course_Innovation_in_the_Digital_Age","Present an innovative idea in a pitching session with few minutes","S62,S64,S65,S202,K409"
"Course_Innovation_in_the_Digital_Age","Learn how to investigate existing human problems/needs","S16,S17,S206,S209,K55,K56,K57"
"Course_Innovation_in_the_Digital_Age","Learn how to investigate new business ideas","S98,S145,S235,K52,K53,K54,K212"
"Course_Innovation_in_the_Digital_Age","Refine communication and pitching skills","S62,S64,S65,S202,K409"
"Course_International_Field_Trip","Understand other countries' economic, social, political and cultural systems","K24,K56,K58,K85,K91,K212,K237,K293,K335,K384"
"Course_International_Field_Trip","Analyze and determine value propositions and business models consistent with cultural and economic environment","S16,S17,S24,S27,S53,S81,S262,S322,K52,K53,K54,K55,K56,K57,K58"
"Course_International_Field_Trip","Make decisions on how to start a business","S27,S53,S81,S262,S322,K52,K53,K54,K55,K56,K57,K58"
"Course_International_Field_Trip","Understand commonalities and differences in ways of doing business","S27,S53,S81,K52,K53,K54,K55,K56,K57,K58"
"Course_International_Field_Trip","Discuss with managers and academics","S64,S65,S202,S391,K85"
"Course_International_Field_Trip","Collect and synthesize information for research objectives","S73,S74,S75,S76,S77,S78,S325,S339,S395,S396,K330,K346,K347"
"Course_International_Field_Trip","Write reports on related topics","S166,S372,S453,K134"
"Course_International_Field_Trip","Reflect on differences in realities of different countries","S3,S4,S24,S98,S161,K24,K56,K58,K91,K293"
"Course_IT_Governance_Risk_and_Compliance","Understand challenges and opportunities related to IT regulations in enterprises","K58,K173,K189,K209,K218,K333,S67,S172,S174,S220,S227,S228"
"Course_IT_Governance_Risk_and_Compliance","Analyze compliance, governance and risk management requirements","K25,K88,K152,K193,K194,S8,S11,S12,S39,S207,S228,S337,S338"
"Course_IT_Governance_Risk_and_Compliance","Understand the relationship between IT governance, risk, compliance, and audit","K88,K193,K194,K209,S189,S220,S227,S228,S336"
"Course_IT_Governance_Risk_and_Compliance","Understand privacy requirements focusing on EU GDPR","K152,S173,S174,S177,S178,S386"
"Course_IT_Governance_Risk_and_Compliance","Apply reference models like COBIT 2019 to specific use cases","K88,S16,S17,S72,S232,S357"
"Course_IT_Governance_Risk_and_Compliance","Perform systematic gap analysis and audits using software solutions","K25,K88,S189,S323,S336,S382"
"Course_IT_Governance_Risk_and_Compliance","Propose necessary activities or controls based on gap analysis","S8,S11,S12,S98,S161,S227,S228"
"Course_IT_Governance_Risk_and_Compliance","Prepare and present on IT governance, compliance, and risk management topics","S62,S202,S372,S454"
"Course_IT_Governance_Risk_and_Compliance","Develop independent learning and critical thinking skills","S4,S295,S310,S395"
"Course_Knowledge_Processing_and_Decision_Making","Understand how knowledge can be explicitly acquired and represented in formal knowledge representation formalisms","K97,K98,K105,K118,K165,K204,K208,K269,K305,K306"
"Course_Knowledge_Processing_and_Decision_Making","Assess which kind of knowledge representation and reasoning is adequate for a given problem","S4,S17,S54,S88,S261,S325,S326,S327,K12,K20,K97,K101,K102,K117,K118,K244,K269"
"Course_Knowledge_Processing_and_Decision_Making","Develop appropriate knowledge-based systems","S146,S159,S235,S357,K80,K117,K118,K244,K269,K360,K361,K364,K365"
"Course_Knowledge_Processing_and_Decision_Making","Evaluate the advantages and costs of knowledge-based systems","S72,S188,S322,S361,K52,K53,K54,K55,K56,K57,K58"
"Course_Knowledge_Processing_and_Decision_Making","Apply knowledge representation techniques to real-world business problems","S16,S17,S85,S98,S161,S232,S357,K55,K56,K57,K58,K97,K101,K105"
"Course_Knowledge_Processing_and_Decision_Making","Analyze complex problems and decide on appropriate knowledge representation formalisms","S4,S17,S98,S161,S261,K12,K97,K101,K102,K117,K118,K244,K269"
"Course_Knowledge_Processing_and_Decision_Making","Demonstrate problem-solving using knowledge representation and reasoning techniques","S98,S161,S357,K12,K20,K97,K101,K117,K118,K244,K269"
"Course_Knowledge_Processing_and_Decision_Making","Understand and apply various forms of knowledge representation and inference techniques","K12,K20,K97,K101,K102,K117,K118,K244,K269,K305,K306"
"Course_Knowledge_Processing_and_Decision_Making","Comprehend and utilize different inference principles including time/space and non-monotonic reasoning","K12,K20,K117,K118,K244,K269,K305,K306"
"Course_Knowledge_Processing_and_Decision_Making","Understand and apply decision logic and the OMG Decision Model and Notation Rules","K55,K56,K57,K58,K117,K118"
"Course_Knowledge_Processing_and_Decision_Making","Grasp concepts of Horn logic, forward and backward chaining, and data-driven and goal-oriented approaches","K12,K117,K118,K244,K269"
"Course_Knowledge_Processing_and_Decision_Making","Understand object-centered systems and description logics","K12,K117,K118,K244,K269"
"Course_Knowledge_Processing_and_Decision_Making","Comprehend and work with knowledge graphs","K97,K101,K102,K117,K118,K244,K269"
"Course_Knowledge_Processing_and_Decision_Making","Understand uncertainty and non-monotonic reasoning in knowledge representation","K12,K20,K117,K118,K244,K269"
"Course_Knowledge_Processing_and_Decision_Making","Grasp basics of fuzzy logic and machine learning in knowledge representation","K20,K97,K101,K118,K244,K269"
"Course_Lean_Entrepreneurship","Understand entrepreneurship by doing entrepreneurship","S98,S145,S161,S322,S332,S335,K52,K55,K56,K57,K58,K212"
"Course_Lean_Entrepreneurship","Generate and evaluate entrepreneurial ideas","S98,S145,S161,S206,S322,K52,K55,K56,K57,K58,K212"
"Course_Lean_Entrepreneurship","Turn ideas into real startups or develop new business concepts","S85,S98,S145,S161,S206,S322,S335,K52,K55,K56,K57,K58,K212"
"Course_Lean_Entrepreneurship","Generate business ideas","S98,S145,S161,S206,K52,K55,K56,K57,K58,K212"
"Course_Lean_Entrepreneurship","Apply tools and instruments for data collection","S61,S72,S74,S75,S325,S326,S327,K97,K100,K101,K104,K105"
"Course_Lean_Entrepreneurship","Design clear and informative surveys and reports","S62,S93,S372,S380,K134"
"Course_Lean_Entrepreneurship","Paraphrase and interpret information","S62,S244,S246,S247,S395,K97"
"Course_Lean_Entrepreneurship","Convert business opportunities into workable and marketable products","S98,S145,S161,S206,S322,S335,K52,K55,K56,K57,K58,K212"
"Course_Lean_Entrepreneurship","Identify problems needing a solution","S4,S98,S161,S206,S322,K52,K55,K56,K57,K58"
"Course_Lean_Entrepreneurship","Validate and recognize business opportunities","S98,S145,S161,S206,S322,K52,K55,K56,K57,K58,K212"
"Course_Lean_Entrepreneurship","Select, interpret, and judge information from stakeholders","S62,S65,S169,S244,S246,S247,S395,K85"
"Course_Lean_Entrepreneurship","Identify ethical and legal issues of new business ideas","S67,S173,S174,S210,K89,K147,K152,K193,K234,K239"
"Course_Lean_Entrepreneurship","Work within multicultural teams and interact with other stakeholders","S53,S64,S65,S169,S263,S300,K85,K237"
"Course_Lean_Entrepreneurship","Practice active listening and humble inquiry, giving and receiving feedback","S64,S65,S169,K85"
"Course_Lean_Entrepreneurship","Prepare independently for successful cooperation with teammates","S53,S263,S300,K237"
"Course_Lean_Entrepreneurship","Reflect on personal experience in cross-cultural leadership development and learning","S295,K237"
"Course_Master_Thesis","Apply appropriate research methodologies","S74,S75,S78,S339,K347"
"Course_Master_Thesis","Demonstrate deep understanding of a specific domain","S115,S310,S395"
"Course_Master_Thesis","Select and adapt methodologies to solve identified problems","S98,S161,S357"
"Course_Master_Thesis","Determine and justify solutions for research-worthy problems with business impact","S16,S17,S72,S188,S261,S322,K52,K56,K57"
"Course_Master_Thesis","Explain and defend work in a colloquium","S44,S62,S202,S349"
"Course_Master_Thesis","Explore a domain through literature review and data collection","S73,S74,S75,S78,S325,S339,K346,K347"
"Course_Master_Thesis","Integrate learning from previous modules into a project","S395,S396,K266"
"Course_Master_Thesis","Plan, conduct, and write up a research project","S94,S166,S335,S345,S452,S453,K188,K330"
"Course_Master_Thesis","Develop innovative ideas with potential for startup creation (for New Business type)","S145,S205,S235,K87,K212"
"Course_Master_Thesis","Conduct market research (for New Business type)","S332,K126,K357"
"Course_Master_Thesis_Proposal","Understand appropriate research methodologies and their application areas","K347,K330"
"Course_Master_Thesis_Proposal","Develop deep understanding of a specific domain to determine problem description","S74,S75,S73"
"Course_Master_Thesis_Proposal","Select and adapt appropriate methodology to solve identified problem","S161,S345"
"Course_Master_Thesis_Proposal","Derive a research-worthy problem with business impact","S16,S17,S72"
"Course_Master_Thesis_Proposal","Write convincing argumentation for problem statement based on literature review","S166,S396,S453"
"Course_Master_Thesis_Proposal","Identify and analyze relevant literature for the research topic","S73,S395"
"Course_Master_Thesis_Proposal","Determine research problem based on practical relevance and literature review","S73,S74,S75"
"Course_Master_Thesis_Proposal","Define thesis statement and research questions","S94,S112"
"Course_Master_Thesis_Proposal","Determine appropriate research methodology","S345,K347"
"Course_Master_Thesis_Proposal","Set up a master thesis project","S286,S335"
"Course_Master_Thesis_Proposal","Conduct a literature review","S73,S395"
"Course_Master_Thesis_Proposal","Specify research methodology","S345,K347"
"Course_Model-based_Design_of_Cyber-Physical_Solutions","Understand the distinction between modeling and metamodeling","K102,K276,K352,K403"
"Course_Model-based_Design_of_Cyber-Physical_Solutions","Know various approaches for conceptual modeling, including graphical and ontological modeling","K55,K102,K276,K352,K403"
"Course_Model-based_Design_of_Cyber-Physical_Solutions","Design domain-specific metamodels and modeling languages","S119,S120,S132,S134,K102,K276,K352,K403"
"Course_Model-based_Design_of_Cyber-Physical_Solutions","Create conceptual models to represent complex situations for decision support and solution design","S85,S88,S91,S96,K55,K102,K276,K352,K403"
"Course_Model-based_Design_of_Cyber-Physical_Solutions","Make decisions based on conceptual models and reasoning","S261,S262,K52,K54,K102,K276,K352,K403"
"Course_Model-based_Design_of_Cyber-Physical_Solutions","Communicate effectively between stakeholders with different backgrounds","S62,S63,S64,S65,S169,K85"
"Course_Model-based_Design_of_Cyber-Physical_Solutions","Collaborate for joint decision making","S30,S53,S65,S169,K85"
"Course_Model-based_Design_of_Cyber-Physical_Solutions","Interact with people from diverse cultural and educational backgrounds","S65,S169,K85"
"Course_Model-based_Design_of_Cyber-Physical_Solutions","Acquire knowledge about application domains independently for creating innovative solutions","S145,S235,S310,S311,S313,K140,K212"
"Course_Qualitative_Decision_Making_and_Knowledge_Management","Understand the linkage between decision making and knowledge management","K117,K208,K210,K261"
"Course_Qualitative_Decision_Making_and_Knowledge_Management","Explain decision making and knowledge management processes and how they can be exploited","K55,K56,K117,K208,K210"
"Course_Qualitative_Decision_Making_and_Knowledge_Management","Understand different types of knowledge (tacit, implicit, explicit) and the building blocks for knowledge management","K208,K210"
"Course_Qualitative_Decision_Making_and_Knowledge_Management","Design meaningful and informative reports and dashboards that satisfy business decision needs","S114,S261,S262,K52,K53,K54,K108"
"Course_Qualitative_Decision_Making_and_Knowledge_Management","Formulate problems as knowledge and data analysis tasks and interpret results","S325,S326,S327,S333,K97,K98,K101,K105"
"Course_Qualitative_Decision_Making_and_Knowledge_Management","Apply information technology for data-driven and knowledge-supported decision making and knowledge sharing","S261,S262,K117,K208,K210"
"Course_Qualitative_Decision_Making_and_Knowledge_Management","Determine appropriate knowledge management strategies and approaches","S265,K208,K210"
"Course_Qualitative_Decision_Making_and_Knowledge_Management","Assess the decision maturity of an enterprise","S72,K53,K54,K117"
"Course_Qualitative_Decision_Making_and_Knowledge_Management","Identify relevant ethical and legal considerations in decision making and knowledge management","S67,S173,S174,K147,K152,K193"
"Course_Qualitative_Decision_Making_and_Knowledge_Management","Judge and select appropriate analytical tools for given specific business cases","S317,K52,K53,K54,K97,K101"
"Course_Qualitative_Decision_Making_and_Knowledge_Management","Judge the potential of predictive analysis techniques for improving decision making effectiveness and efficiency","S54,S55,K20,K118,K244"
"Course_Qualitative_Decision_Making_and_Knowledge_Management","Communicate and share knowledge for decision making","S62,S63,S64,S65,K85"
"Course_Qualitative_Decision_Making_and_Knowledge_Management","Explain DM and KM related analyses and provide recommendations","S62,S63,S64,S65,K52,K53,K54,K208,K210"
"Course_Qualitative_Decision_Making_and_Knowledge_Management","Elicit analytical requirements based on interviews with business stakeholders","S206,S207,S208,S209,K57"
"Course_Qualitative_Decision_Making_and_Knowledge_Management","Set up a plan of action for innovative KM and DM initiatives","S231,S235,K212"
"Course_Qualitative_Decision_Making_and_Knowledge_Management","Develop strategies for successful KM and DM","S113,S154,S231,K208,K210,K333"
"Course_Research_Methods_in_Information_Systems","Understand different research designs and methodologies for academic and practitioner researchers in international contexts","K330,K347,S74,S75,S76,S78"
"Course_Research_Methods_in_Information_Systems","Differentiate qualitative and quantitative approaches and their potential/limitations for different cultural dimensions","K74,K75,S74,S75"
"Course_Research_Methods_in_Information_Systems","Organize and present a research project","S94,S335,S345,S452"
"Course_Research_Methods_in_Information_Systems","Design a research project including research question, methods, information gathering, and scheduling","S94,S335,S345,S452"
"Course_Research_Methods_in_Information_Systems","Critically evaluate literature relevant to research aims and develop a conceptual framework","S73,S395,S396"
"Course_Research_Methods_in_Information_Systems","Interpret and critically evaluate research outcomes and their impact on business/international practices","S185,S380,S396"
"Course_Research_Methods_in_Information_Systems","Use appropriate methods and tools, including software, to discuss scientific findings","S325,S326,S327,S333,K97,K101,K105"
"Course_Research_Methods_in_Information_Systems","Analyze quantitative and qualitative data and interpret results in context, considering ethical aspects","S325,S326,S327,S333,K97,K101,K105,K99"
"Course_Research_Methods_in_Information_Systems","Report on the design, methods, and results of a research project critically and concisely","S166,S372,S453"
"Course_Research_Methods_in_Information_Systems","Act as an independent self-learner of new research designs and methods","S295,S310,S311"
"Course_Strategic_Business_Innovation","Understand how digitalization and globalization change business practices","K52,K53,K56,K58,K97,K126,K140,S16,S17,S24,S72,S235,S261,S262"
"Course_Strategic_Business_Innovation","Recognize future business opportunities in the digital economy","K52,K53,K56,K58,K87,K126,K140,S16,S17,S24,S72,S206,S214,S235,S261,S262"
"Course_Strategic_Business_Innovation","Perceive relevant trends and how digital means enable new business models","K52,K53,K56,K58,K87,K126,K140,S16,S17,S24,S72,S206,S214,S235,S261,S262,S313"
"Course_Strategic_Business_Innovation","Understand how to build sustainability in the digital economy","K91,K212,K384,K385,S10,S172,S173,S280,S351,S352"
"Course_Strategic_Business_Innovation","Learn how to create sustainable strategic advantages through innovation in the digital economy","K52,K53,K56,K58,K87,K91,K126,K140,K212,S16,S17,S24,S72,S145,S161,S235,S261,S262"
"Course_Strategic_Business_Innovation","Apply learned knowledge to real cases","S4,S16,S17,S24,S72,S98,S161,S261,S262"
"Course_Strategic_Business_Innovation","Evaluate an innovative idea in the context of digitalization and business development","S4,S16,S17,S24,S72,S98,S145,S161,S188,S261,S262"
"Course_Strategic_Business_Innovation","Explain and defend an innovative idea in front of an audience","S62,S63,S64,S65,S202"
"Course_Strategic_Business_Innovation","Independently deepen understanding of presented topics","S73,S74,S75,S76,S78,S295,S310,S311"
"Course_Supply_Chain_Management","Understand fundamental concepts, methods, and instruments of Supply Chain Management","K56,K97,K313,K333"
"Course_Supply_Chain_Management","Apply fundamental concepts, methods, and instruments of Supply Chain Management","S16,S232,S261,S337"
"Course_Supply_Chain_Management","Analyze and prepare a teaching case on a current topic in Supply Chain Management","S4,S74,S75,S372,K346"
"Course_Supply_Chain_Management","Evaluate the potential of Supply Chain Management innovations","S188,S235,S338,K212"
"Course_Supply_Chain_Management","Make quantified, multi-perspective judgements on Supply Chain improvements","S41,S54,S186,S325,K380,K381"
"Course_Supply_Chain_Management","Develop communication skills for innovating in Supply Chain Management","S44,S62,S64,S65,S202"
"Course_Supply_Chain_Management","Process specialized literature and dive into Supply Chain problems, applications & technology","S73,S310,S395,K346,K385"
